train_loss,valid_loss
1.562495,1.265624
1.141426,0.996323
0.960005,0.919868
0.916237,0.903312
0.911006,0.893650
0.900112,0.918500
0.899036,0.907129
0.897165,0.910019
0.898073,0.896324
0.889625,0.916041
0.890086,0.907963
0.895277,0.927631
0.889943,0.911012
0.886075,0.899513
0.888448,0.920845
0.891087,0.919497
0.885873,0.919414
0.889536,0.911189
0.893531,0.915531
0.895865,0.916257
